TIME,CONC
0,0.076267415737
0.095278,0.0710515287824
0.19056,0.0718080314705
0.28583,0.0716089518158
0.38111,0.0787957273524
0.47639,0.0947619156639
0.57167,0.139952997294
0.66694,0.23210696948
0.76222,0.372796561496
0.8575,0.515516765991
0.95278,0.624035085798
1.0481,0.700402041363
1.1433,0.736156747357
1.2386,0.764047806988
1.3339,0.788454972661
1.4292,0.790585124967
1.5244,0.803525302526
1.6197,0.815908057052
1.715,0.821303115696
1.8103,0.830361239988
1.9056,0.833088631258
2.0008,0.834044213601
2.0961,0.846407060161
2.1914,0.84764135402
2.2867,0.856739294243
2.3819,0.849134451431
2.4772,0.865259903466
2.5725,0.864841836191
2.6678,0.870714686007
2.7631,0.870674870076
2.8583,0.879693178436
2.9536,0.886083635354
3.0489,0.885765107906
3.1442,0.901233597081
3.2394,0.901572032494
3.33,0.911207487784
3.4253,0.92526251141
3.5206,0.920444783765
3.6158,0.927392663716
3.7111,0.923709690103
3.8064,0.925282419375
3.9017,0.926476897304
3.9969,0.931214993087
4.0922,0.933185881669
4.1875,0.934081740115
4.2828,0.938780019968
4.3781,0.944294526404
4.4733,0.951322038217
4.5686,0.953631362212
4.6639,0.951501209907
4.7592,0.948415475258
4.8544,0.956836544654
4.9497,0.95834955003
5.045,0.95874770934
5.1403,0.956139765862
5.2356,0.965615957429
5.3308,0.962948290055
5.4261,0.969816538144
5.5214,0.972743009069
5.6167,0.975848651683
5.7119,0.978197791609
5.8072,0.963485805123
5.9025,0.981721501499
5.9978,0.978595950919
6.0931,0.988709197381
6.1883,0.986459597282
6.2836,0.985603554766
6.3789,0.981940489119
6.4742,0.983752113977
6.5694,0.990401374446
6.6647,0.995159378195
6.76,0.997170082708
6.8553,0.985742910525
6.9506,0.99372600468
7.0458,0.990620362066
7.1411,0.989824043447
7.2364,0.998782627911
7.3317,0.995119562264
7.4269,0.991177785099
7.5222,0.992650974545
7.6175,0.994601955161
7.7128,1.00352072369
7.8081,1.00312256438
7.9033,0.996672383571
7.9986,0.99579643309
8.0939,0.994144071955
8.1892,1.00166928291
8.2844,0.991595852374
8.3797,1.00395869893
8.475,0.994263519748
8.5703,1.00409805469
8.6656,1.00429713435
8.7608,1.01329553474
8.8561,1.00925421775
8.9514,1.01070749923
9.0467,1.00999081247
9.1419,1.00608885124
9.2372,1.00975191689
9.3325,1.01321590288
9.4278,1.00573050786
9.5231,1.0167197048
9.6183,1.02711166278
9.7136,1.01251912409
9.8089,1.01689887649
9.9042,1.0167794287
9.9994,1.00722360527
10.095,1.00766158051
10.19,1.01548541095
10.285,1.00405823876
10.381,1.02225411921
10.476,1.01936746421
10.571,1.00451612197
10.666,1.01403212947
10.762,1.01875031728
10.857,1.01743639156
10.952,1.02311016172
11.048,1.0189693049
11.143,1.02555884148
11.238,1.0117028975
11.333,1.02954043457
11.429,1.02940107881
11.524,1.02717138668
11.619,1.02518059013
11.714,1.03953423324
11.81,1.02894319561
11.905,1.01596320212
12,1.03521420473
12.096,1.02934135492
12.191,1.02922190712
12.286,1.0234087812
12.381,1.02758945395
12.477,1.02910245933
12.572,1.01604283398
12.667,1.02585746096
12.762,1.02840568054
12.858,1.03087426826
12.953,1.01468909233
13.048,1.02539957775
13.144,1.02967979033
13.239,1.02165688024
13.334,1.02852512833
13.429,1.0196063598
13.525,1.03656794638
13.62,1.03250672143
13.715,1.02808715309
13.811,1.03071500453
13.906,1.03545310032
14.001,1.03254653736
14.096,1.03282524887
14.192,1.03489567728
14.287,1.03069509657
14.382,1.02416528389
14.477,1.01751602342
14.573,1.02454353524
14.668,1.02420509982
14.763,1.01739657563
14.859,1.02999831778
14.954,1.01825261815
15.049,1.01928783235
15.144,1.01656044108
15.24,1.02932144695
15.335,1.02428473169
15.43,1.01827252611
15.526,1.01847160577
15.621,1.0228911741
15.716,1.02999831778
15.811,1.02545930165
15.907,1.03427853035
16.002,1.02420509982
16.097,1.03103353198
16.193,1.03965368103
16.288,1.03712536942
16.383,1.02633525213
16.478,1.03286506481
16.574,1.02119899704
16.669,1.02563847334
16.764,1.02267218648
16.859,1.02886356374
16.955,1.01650071718
17.05,1.01116538244
17.145,1.01650071718
17.241,1.02719129464
17.336,1.02880383985
17.431,1.03117288774
17.526,1.02374721662
17.622,1.03555264014
17.717,1.0251407742
17.812,1.02707184685
17.908,1.01556504281
18.003,1.02778853361
18.098,1.02330924138
18.193,1.02119899704
18.289,1.01727712784
18.384,1.03515448084
18.479,1.02727092651
18.574,1.01944709607
18.67,1.01484835605
18.765,1.01243949223
18.86,1.02635516009
18.956,1.02657414772
19.051,1.03250672143
19.146,1.03901662614
19.241,1.0290626434
19.337,1.03055574081
19.432,1.03437807018
19.527,1.02442408744
19.622,1.03421880646
19.718,1.02255273869
19.813,1.03077472843
19.908,1.02999831778
20.004,1.03194929839
20.099,1.02882374781
20.194,1.03354193563
20.289,1.03370119936
20.385,1.02551902554
20.48,1.02810706106
20.575,1.02834595664
20.671,1.03194929839
20.766,1.02782834954
20.861,1.02167678821
20.956,1.02693249109
21.052,1.0268130433
21.147,1.0307349125
