time (h);250uM Y;time (h);200uM Y;time (h);110uM Y;time (h);100uM Y;time (h);90uM Y
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.083333333;-0.000305073859987;0.083333333;-0.000180071046213;0.083333333;-0.00100820002689
0.083333333;0.000827032136106;0.083333333;0.000575065471981;0.166666667;-0.000441554271034;0.166666667;-0.000245551426654;0.166666667;-0.000504100013443
0.083333333;0.00199374623483;0.083333333;0.00996899461925;0.25;-0.000537893384714;0.25;0.000425622472867;0.25;-0.00023524667294
0.166666667;-0.00062765831758;0.166666667;0.00174462430351;0.333333333;-0.000417469492614;0.333333333;-9.82E+06;0.333333333;-0.00132746336873
0.166666667;0.00365759201354;0.166666667;0.0223572431628;0.416666667;-0.000481695568401;0.416666667;-0.000196441141323;0.416666667;-0.000789756687727
0.25;0.00660887287335;0.25;0.0;0.5;-0.000489723827874;0.5;0.000212811236433;0.5;-0.000856970022853
0.25;0.0064474023925;0.25;0.00131332519952;0.583333333;-0.000369299935774;0.583333333;-0.000180071046213;0.583333333;-0.00035287000941
0.333333333;-0.000900874291115;0.25;0.0336749023261;0.666666667;-0.000594091201028;0.666666667;-0.000327401902205;0.666666667;-0.000957790025541
0.333333333;0.00414527094868;0.333333333;-0.00199137593101;0.75;-0.000690430314708;0.75;8.19E+06;0.75;-0.000806560021508
0.416666667;0.0;0.333333333;0.00164359928816;0.833333333;-0.000578034682081;0.833333333;-0.000441992567977;0.833333333;-0.000856970022853
0.416666667;0.00877244801512;0.333333333;0.023413928785;0.916666667;-0.000481695568401;0.916666667;6.55E+05;0.916666667;-0.000924183357978
0.416666667;0.00962448721994;0.416666667;0.000611524892199;1.0;-0.000594091201028;1.0;-0.000261921521764;1.0;-0.000218443339158
0.5;-0.0136432023343;0.416666667;0.000971394378346;1,083,333,333;-0.000313102119461;1,083,333,333;-0.000507472948418;1,083,333,333;-0.000638526683694
0.5;0.0070666942344;0.416666667;0.0437551270108;1,166,666,667;-0.000602119460501;1,166,666,667;-0.000261921521764;1,166,666,667;-0.000840166689071
0.5;0.015225623225;0.5;0.00228929831439;1.25;-0.000730571612075;1.25;-0.000589323423969;1.25;-0.000655330017475
0.583333333;0.00238214643932;0.5;0.00283647158477;1,333,333,333;-0.000457610789981;1,333,333,333;-0.000163700951103;1,333,333,333;-0.00047049334588
0.583333333;0.00753928402647;0.5;0.0487882874741;1,416,666,667;-0.000489723827874;1,416,666,667;-0.000212811236433;1,416,666,667;-0.000806560021508
0.583333333;0.0218523193436;0.583333333;0.005049000392;1.5;-0.000465639049454;1.5;8.19E+06;1.5;-0.00112582336336
0.666666667;-0.00476281899811;0.583333333;0.00259945135646;1,583,333,333;-0.000393384714194;1,583,333,333;-0.000147330855992;1,583,333,333;-0.000957790025541
0.666666667;-0.00467311023981;0.583333333;0.0541134268593;1,666,666,667;-0.000353243416827;1,666,666,667;-0.000360142092426;1,666,666,667;-0.000772953353945
0.666666667;0.0184242232996;0.666666667;-0.0040925127401;1.75;-0.000650289017341;1.75;-0.000180071046213;1.75;-0.000252050006721
0.75;-0.0176780341023;0.666666667;0.000303075046044;1,833,333,333;-0.000537893384714;1,833,333,333;-0.000491102853308;1,833,333,333;-0.00035287000941
0.75;-0.00874291115312;0.666666667;0.0518332105168;1,916,666,667;-0.000489723827874;1,916,666,667;-0.000720284184851;1,916,666,667;-0.00142828337142
0.75;0.0080180154336;0.75;-0.00137985103881;2.0;-0.000730571612075;2.0;-0.000229181331544;2.0;-0.000604920016131
0.833333333;-0.0228184553661;0.75;0.00409928427662;2,083,333,333;-0.000698458574181;2,083,333,333;3.27E+06;2,083,333,333;-0.000369673343191
0.833333333;-0.00774604206049;0.75;0.0580064791513;2,166,666,667;-0.000658317276814;2,166,666,667;-0.000409252377756;2,166,666,667;-0.000756150020164
0.833333333;0.00471183912333;0.833333333;-0.000956487651901;2.25;-0.000497752087347;2.25;-0.000261921521764;2.25;-0.00203320338755
0.916666667;-0.0234339381782;0.833333333;0.00575065471981;2,333,333,333;-0.000441554271034;2,333,333,333;-0.000769394470182;2,333,333,333;-0.000856970022853
0.916666667;-0.00662364130435;0.833333333;0.0405433588699;2,416,666,667;-0.000666345536288;2,416,666,667;-0.000392882282646;2,416,666,667;-0.00146189003898
0.916666667;0.00807538942597;0.916666667;-0.00109184728126;2.5;-0.000417469492614;2.5;-0.00062206361419;2.5;-0.00126025003361
1.0;-0.0210859852284;0.916666667;0.00131713053704;2,583,333,333;-0.000361271676301;2,583,333,333;4.91E+06;2,583,333,333;-0.00164672671058
1.0;-0.00635042533081;0.916666667;0.0415444294593;2,666,666,667;-0.000505780346821;2,666,666,667;-0.000196441141323;2,666,666,667;-0.00184836671596
1.0;0.00631113916062;1.0;-0.00283810270482;2.75;-0.000489723827874;2.75;-0.000572953328859;2.75;-0.000302460008066
1,083,333,333;-0.0210517917389;1.0;0.00114235978894;2,833,333,333;-0.000722543352601;2,833,333,333;-0.000392882282646;2,833,333,333;0.00119303669848
1,083,333,333;-0.00462990311909;1.0;0.0392503093586;2,916,666,667;-0.000762684649968;2,916,666,667;-0.000245551426654;2,916,666,667;0.000403280010754
